Date and Time,Time (s),Temperature (C),Position (m),Velocity (m/s),Acceleration (m/s²)
05/18/2020 10:12:43 AM,0,23.5,0.158,,
05/18/2020 10:12:53 AM,10,23.5,0.157,-5.16E-05,
05/18/2020 10:13:03 AM,20,23.7,0.157,-2.58E-05,2.15E-06
05/18/2020 10:13:13 AM,30,25.6,0.157,-8.60E-06,1.19E-06
05/18/2020 10:13:23 AM,40,25.4,0.157,-1.15E-05,8.12E-07
05/18/2020 10:13:33 AM,50,25.1,0.157,5.73E-06,-2.39E-07
05/18/2020 10:13:43 AM,60,24.9,0.157,8.60E-06,-2.53E-06
05/18/2020 10:13:53 AM,70,25.3,0.158,-4.30E-05,-4.30E-06
05/18/2020 10:14:03 AM,80,25.9,0.157,-1.15E-04,-3.25E-06
05/18/2020 10:14:13 AM,90,25.9,0.154,-1.29E-04,1.43E-06
05/18/2020 10:14:23 AM,100,26.2,0.153,-1.00E-04,6.93E-06
05/18/2020 10:14:33 AM,110,27.3,0.153,2.87E-05,9.22E-06
05/18/2020 10:14:43 AM,120,27.1,0.151,1.43E-04,6.12E-06
05/18/2020 10:14:53 AM,130,27.2,0.158,1.81E-04,-8.12E-07
05/18/2020 10:15:03 AM,140,27.3,0.158,1.15E-04,-5.26E-06
05/18/2020 10:15:13 AM,150,27.8,0.158,8.60E-06,-4.97E-06
05/18/2020 10:15:23 AM,160,28.4,0.158,0,-2.15E-06
05/18/2020 10:15:33 AM,170,28.2,0.158,-2.87E-06,-2.39E-07
05/18/2020 10:15:43 AM,180,28,0.158,-2.87E-06,-1.00E-06
05/18/2020 10:15:53 AM,190,28.3,0.158,-2.87E-06,-1.77E-06
05/18/2020 10:16:03 AM,200,28.6,0.158,-6.02E-05,-5.26E-07
05/18/2020 10:16:13 AM,210,29,0.158,-5.16E-05,2.34E-06
05/18/2020 10:16:23 AM,220,28.8,0.154,1.43E-05,3.87E-06
05/18/2020 10:16:33 AM,230,29.1,0.158,6.31E-05,1.58E-06
05/18/2020 10:16:43 AM,240,29,0.158,5.73E-05,-1.19E-06
05/18/2020 10:16:53 AM,250,29.6,0.158,0,-1.91E-06
05/18/2020 10:17:03 AM,260,29.9,0.158,5.73E-06,-1.05E-06
05/18/2020 10:17:13 AM,270,30.3,0.158,0,-1.34E-06
05/18/2020 10:17:23 AM,280,30.8,0.158,-5.73E-06,-2.39E-06
05/18/2020 10:17:33 AM,290,30.5,0.158,-6.88E-05,-1.10E-06
05/18/2020 10:17:43 AM,300,30.9,0.158,-6.88E-05,2.29E-06
05/18/2020 10:17:53 AM,310,31.1,0.154,-2.87E-06,3.63E-06
05/18/2020 10:18:03 AM,320,31.5,0.158,6.59E-05,4.30E-07
05/18/2020 10:18:13 AM,330,31.8,0.158,1.43E-05,-2.25E-06
05/18/2020 10:18:23 AM,340,31.9,0.158,-6.02E-05,-6.69E-07
05/18/2020 10:18:33 AM,350,32.1,0.154,-1.15E-05,1.62E-06
05/18/2020 10:18:43 AM,360,32,0.158,5.16E-05,3.34E-07
05/18/2020 10:18:53 AM,370,32.3,0.158,0,-1.43E-06
05/18/2020 10:19:03 AM,380,32.7,0.158,-5.16E-05,2.87E-07
05/18/2020 10:19:13 AM,390,33,0.154,5.73E-06,2.96E-06
05/18/2020 10:19:23 AM,400,32.8,0.158,6.31E-05,1.82E-06
05/18/2020 10:19:33 AM,410,32.9,0.158,6.31E-05,-1.19E-06
05/18/2020 10:19:43 AM,420,32.7,0.158,1.39E-18,-2.34E-06
05/18/2020 10:19:53 AM,430,32.9,0.158,-2.87E-06,-1.53E-06
05/18/2020 10:20:03 AM,440,34.2,0.158,-1.15E-05,-4.30E-07
05/18/2020 10:20:13 AM,450,33.9,0.158,-1.72E-05,4.78E-08
05/18/2020 10:20:23 AM,460,34,0.158,-1.15E-05,-3.34E-07
05/18/2020 10:20:33 AM,470,34.2,0.157,0,-1.15E-06
05/18/2020 10:20:43 AM,480,34.4,0.158,-4.87E-05,-5.73E-07
05/18/2020 10:20:53 AM,490,34.7,0.158,-4.87E-05,1.82E-06
05/18/2020 10:21:03 AM,500,34.9,0.154,2.87E-06,3.54E-06
05/18/2020 10:21:13 AM,510,35.5,0.158,5.73E-05,1.67E-06
