Time (s),Temperature (C),Position (m)
0,23.5,0.158
10,23.5,0.157
20,23.7,0.157
30,25.6,0.157
40,25.4,0.157
50,25.1,0.157
60,24.9,0.157
70,25.3,0.158
80,25.9,0.157
90,25.9,0.154
100,26.2,0.153
110,27.3,0.153
120,27.1,0.151
130,27.2,0.158
140,27.3,0.158
150,27.8,0.158
160,28.4,0.158
170,28.2,0.158
180,28,0.158
190,28.3,0.158
200,28.6,0.158
210,29,0.158
220,28.8,0.154
230,29.1,0.158
240,29,0.158
250,29.6,0.158
260,29.9,0.158
270,30.3,0.158
280,30.8,0.158
290,30.5,0.158
300,30.9,0.158
310,31.1,0.154
320,31.5,0.158
330,31.8,0.158
340,31.9,0.158
350,32.1,0.154
360,32,0.158
370,32.3,0.158
380,32.7,0.158
390,33,0.154
400,32.8,0.158
410,32.9,0.158
420,32.7,0.158
430,32.9,0.158
440,34.2,0.158
450,33.9,0.158
460,34,0.158
470,34.2,0.157
480,34.4,0.158
490,34.7,0.158
500,34.9,0.154
510,35.5,0.158
520,35.7,0.158
530,35.7,0.158
540,36,0.158
550,36.3,0.158
560,36.1,0.158
570,36.8,0.158
580,36.6,0.158
590,36.5,0.158
600,36.6,0.158
610,36.7,0.158
620,37,0.153
630,37.5,0.157
640,37.4,0.154
650,37.9,0.155
660,38.4,0.155
670,38.3,0.154
680,38.4,0.156
690,38.6,0.156
700,38.8,0.153
710,39,0.152
720,39.2,0.157
730,39.5,0.15
740,39.8,0.155
750,40.1,0.155
760,40.2,0.153
770,40.4,0.157
780,40.4,0.15
790,40.4,0.152
800,40.8,0.149
810,41.2,0.152
820,41.5,0.15
830,41.7,0.149
840,41.6,0.152
850,41.8,0.155
860,42.1,0.15
870,42.2,0.149
880,42.3,0.156
890,42.6,0.154
900,42.6,0.155
910,43,0.155
920,43.1,0.148
930,43.1,0.157
940,43.7,0.152
950,43.8,0.156
960,43.8,0.155
970,43.9,0.156
980,44.2,0.156
990,44.5,0.156
1000,44.6,0.156
1010,44.6,0.155
1020,44.5,0.155
1030,45,0.156
1040,44.8,0.156
1050,45.3,0.156
1060,45.5,0.153
1070,45.5,0.155
1080,45.3,0.156
1090,45.6,0.153
1100,45.7,0.156
1110,46,0.155
1120,46.1,0.156
1130,46.2,0.15
1140,46.7,0.156
1150,46.8,0.149
1160,47,0.151
1170,47.1,0.15
1180,47.1,0.151
1190,47.4,0.156
1200,47.3,0.156
1210,47.7,0.149
1220,47.5,0.15
1230,48.1,0.15
1240,47.9,0.153
1250,47.8,0.151
1260,47.9,0.151
1270,47.9,0.15
1280,48.3,0.157
1290,48.6,0.156
1300,48.7,0.157
1310,48.7,0.157
1320,48.8,0.157
1330,48.7,0.157
1340,49,0.157
1350,49.3,0.153
1360,49.4,0.153
1370,49.6,0.152
1380,49.7,0.156
1390,50.1,0.152
1400,50.2,0.15
1410,50.5,0.15
1420,50.6,0.156
1430,51,0.15
1440,50.7,0.151
1450,50.9,0.15
1460,50.8,0.156
1470,50.8,0.151
1480,50.7,0.157
1490,51,0.152
1500,51.2,0.153
1510,51.5,0.157
1520,52,0.151
1530,52.1,0.151
1540,51.7,0.151
1550,52.3,0.156
1560,52.2,0.156
1570,52.7,0.157
1580,52.6,0.15
1590,52.7,0.157
1600,52.4,0.153
1610,52.4,0.156
1620,52.7,0.15
1630,52.6,0.152
1640,52.7,0.157
1650,52.6,0.156
