Date and Time,Time (s),Temperature (C),Position (m)
05/18/2020 10:51:55 AM,0,59.6,0.151
05/18/2020 10:52:05 AM,10,59.6,0.15
05/18/2020 10:52:15 AM,20,59.6,0.149
05/18/2020 10:52:25 AM,30,59.7,0.15
05/18/2020 10:52:35 AM,40,59.8,0.15
05/18/2020 10:52:45 AM,50,59.8,0.156
05/18/2020 10:52:55 AM,60,59.9,0.153
05/18/2020 10:53:05 AM,70,60.1,0.152
05/18/2020 10:53:15 AM,80,60.1,0.15
05/18/2020 10:53:25 AM,90,60.2,0.156
05/18/2020 10:53:35 AM,100,60.2,0.153
05/18/2020 10:53:45 AM,110,60.3,0.15
05/18/2020 10:53:55 AM,120,60.4,0.156
05/18/2020 10:54:05 AM,130,60.5,0.156
05/18/2020 10:54:15 AM,140,60.6,0.155
05/18/2020 10:54:25 AM,150,60.6,0.152
05/18/2020 10:54:35 AM,160,60.7,0.156
05/18/2020 10:54:45 AM,170,60.7,0.151
05/18/2020 10:54:55 AM,180,60.8,0.153
05/18/2020 10:55:05 AM,190,60.8,0.156
05/18/2020 10:55:15 AM,200,60.9,0.151
05/18/2020 10:55:25 AM,210,61,0.153
05/18/2020 10:55:35 AM,220,61,0.157
05/18/2020 10:55:45 AM,230,61,0.15
05/18/2020 10:55:55 AM,240,60.9,0.15
05/18/2020 10:56:05 AM,250,61,0.152
05/18/2020 10:56:15 AM,260,61,0.152
05/18/2020 10:56:25 AM,270,61.1,0.156
05/18/2020 10:56:35 AM,280,61.2,0.157
05/18/2020 10:56:45 AM,290,61.3,0.153
05/18/2020 10:56:55 AM,300,61.4,0.151
05/18/2020 10:57:05 AM,310,61.6,0.151
05/18/2020 10:57:15 AM,320,61.6,0.151
05/18/2020 10:57:25 AM,330,61.6,0.152
05/18/2020 10:57:35 AM,340,61.6,0.157
05/18/2020 10:57:45 AM,350,61.6,0.151
05/18/2020 10:57:55 AM,360,61.7,0.153
05/18/2020 10:58:05 AM,370,61.8,0.156
05/18/2020 10:58:15 AM,380,61.8,0.15
05/18/2020 10:58:25 AM,390,61.9,0.157
05/18/2020 10:58:35 AM,400,61.9,0.152
05/18/2020 10:58:45 AM,410,62,0.15
05/18/2020 10:58:55 AM,420,62,0.153
05/18/2020 10:59:05 AM,430,62,0.153
05/18/2020 10:59:15 AM,440,62,0.151
05/18/2020 10:59:25 AM,450,62,0.151
05/18/2020 10:59:35 AM,460,62.2,0.147
05/18/2020 10:59:45 AM,470,62.1,0.157
05/18/2020 10:59:55 AM,480,62.2,0.15
05/18/2020 11:00:05 AM,490,62.3,0.153
05/18/2020 11:00:15 AM,500,62.2,0.157
05/18/2020 11:00:25 AM,510,62.4,0.154
05/18/2020 11:00:35 AM,520,62.4,0.151
05/18/2020 11:00:45 AM,530,62.5,0.153
05/18/2020 11:00:55 AM,540,62.6,0.151
05/18/2020 11:01:05 AM,550,62.6,0.155
05/18/2020 11:01:15 AM,560,62.7,0.152
05/18/2020 11:01:25 AM,570,62.8,0.152
05/18/2020 11:01:35 AM,580,62.8,0.15
05/18/2020 11:01:45 AM,590,62.8,0.154
05/18/2020 11:01:55 AM,600,62.9,0.148
05/18/2020 11:02:05 AM,610,62.9,0.148
05/18/2020 11:02:15 AM,620,62.9,0.155
05/18/2020 11:02:25 AM,630,63,0.151
05/18/2020 11:02:35 AM,640,63,0.149
05/18/2020 11:02:45 AM,650,63.1,0.149
05/18/2020 11:02:55 AM,660,63.1,0.15
05/18/2020 11:03:05 AM,670,63.1,0.15
05/18/2020 11:03:15 AM,680,63.1,0.148
05/18/2020 11:03:25 AM,690,63.2,0.15
05/18/2020 11:03:35 AM,700,63.3,0.153
05/18/2020 11:03:45 AM,710,63.3,0.155
05/18/2020 11:03:55 AM,720,63.4,0.15
05/18/2020 11:04:05 AM,730,63.4,0.152
05/18/2020 11:04:15 AM,740,63.5,0.151
05/18/2020 11:04:25 AM,750,63.6,0.148
05/18/2020 11:04:35 AM,760,63.7,0.148
05/18/2020 11:04:45 AM,770,63.8,0.151
05/18/2020 11:04:55 AM,780,63.8,0.156
05/18/2020 11:05:05 AM,790,63.8,0.15
05/18/2020 11:05:15 AM,800,63.9,0.153
05/18/2020 11:05:25 AM,810,64,0.15
05/18/2020 11:05:35 AM,820,64,0.151
