Time (s),Position (m),Temperature2,Temperature (C)
0,0.151,204.5,24
10,0.156,205.4,23.8
20,0.148,205.4,24
30,0.156,205.4,24.5
40,0.148,205.4,24.8
50,0.149,205.4,25.5
60,0.155,205.4,26.1
70,0.155,205.4,26.6
80,0.149,205.4,27
90,0.15,205.4,27.4
100,0.151,205.4,28.1
110,0.152,204.5,28.5
120,0.148,203.6,28.9
130,0.151,203.6,29.4
140,0.155,203.6,29.7
150,0.149,203.6,30.2
160,0.155,203.6,30.8
170,0.149,203.6,31.2
180,0.157,203.6,31.7
190,0.15,203.6,32.2
200,0.153,203.6,32.7
210,0.152,203.6,33.3
220,0.154,203.6,34.1
230,0.151,203.6,34.2
240,0.154,203.6,34.7
250,0.15,203.6,35.1
260,0.154,203.6,35.6
270,0.147,203.6,35.9
280,0.151,203.6,36.5
290,0.149,203.6,36.9
300,0.154,203.6,37.2
310,0.148,202.8,37.7
320,0.149,202.8,38.1
330,0.155,202.8,38.5
340,0.154,203.6,38.9
350,0.153,203.6,39.4
360,0.15,203.6,39.9
370,0.152,203.6,40.3
380,0.148,203.6,40.9
390,0.153,203.6,41.4
400,0.148,203.6,41.7
410,0.151,203.6,42.2
420,0.154,203.6,42.6
430,0.148,203.6,43.1
440,0.153,203.6,43.4
450,0.152,202.8,43.8
460,0.154,202.8,44.2
470,0.147,202.8,44.6
480,0.153,202.8,45
490,0.15,202.8,45.5
500,0.147,202.8,45.8
510,0.152,202.8,46.4
520,0.148,202.8,46.9
530,0.149,203.6,47.2
540,0.15,203.6,47.5
550,0.148,203.6,47.9
560,0.15,203.6,48.4
570,0.15,203.6,48.8
580,0.154,203.6,49.1
590,0.152,202.8,49.6
600,0.15,202.8,49.9
610,0.154,202.8,50.3
620,0.148,202.8,50.7
630,0.149,202.8,51.2
640,0.149,202.8,51.3
650,0.154,202.8,51.5
660,0.149,202.8,51.9
670,0.15,202.8,52.3
680,0.15,202.8,52.6
690,0.156,202.8,53.1
700,0.148,202.8,53.6
710,0.154,202.8,53.9
720,0.148,202.8,54.1
730,0.15,202.8,54.5
740,0.152,202.8,54.9
750,0.149,202.8,55.1
760,0.148,202.8,55.4
770,0.154,202.8,56
780,0.155,202.8,56.2
790,0.147,202.8,56.5
800,0.155,201.9,56.9
810,0.149,201.9,57.2
820,0.152,201.9,57.5
830,0.15,202.8,57.7
840,0.153,202.8,58.1
850,0.149,202.8,58.3
860,0.149,202.8,58.6
870,0.155,202.8,59.1
880,0.149,202.8,59.4
890,0.153,202.8,59.8
900,0.149,202.8,60.1
910,0.154,202.8,60.5
920,0.15,202.8,60.7
930,0.149,202.8,61.1
940,0.149,202.8,61.2
950,0.153,202.8,61.4
960,0.149,202.8,61.8
970,0.149,202.8,62.2
980,0.147,201.9,62.2
990,0.149,202.8,62.7
1000,0.153,202.8,63
1010,0.149,202.8,63.1
1020,0.148,202.8,63.6
1030,0.148,202.8,63.8
1040,0.146,202.8,64.1
1050,0.149,202.8,64.5
1060,0.149,202.8,64.8
1070,0.153,202.8,65
1080,0.147,202.8,65.5
1090,0.152,202.8,65.6
1100,0.147,202.8,65.7
1110,0.147,202.8,66.1
1120,0.151,202.8,66.2
1130,0.154,202.8,66.4
1140,0.153,202.8,66.7
1150,0.154,202.8,66.9
1160,0.149,202.8,67.4
1170,0.154,202.8,67.4
1180,0.146,202.8,67.9
1190,0.152,202.8,68
1200,0.153,202.8,68.2
1210,0.148,202.8,68.6
1220,0.155,203.6,68.9
1230,0.149,202.8,69
1240,0.145,202.8,69.3
1250,0.149,202.8,69.5
1260,0.151,202.8,69.8
1270,0.147,202.8,70.1
1280,0.153,202.8,70.1
1290,0.148,202.8,70.4
1300,0.154,201.9,70.7
1310,0.148,201.9,70.9
1320,0.145,202.8,70.9
1330,0.148,202.8,71.1
1340,0.149,202.8,71.6
1350,0.149,202.8,71.8
1360,0.149,202.8,72
1370,0.146,202.8,72.3
1380,0.149,202.8,72.4
1390,0.147,202.8,72.6
1400,0.151,202.8,72.8
1410,0.154,202.8,73
1420,0.145,202.8,73.2
1430,0.148,202.8,73.3
1440,0.147,202.8,73.5
1450,0.149,202.8,73.8
1460,0.151,202.8,74.1
