DateTime,Time (s),Position (m),Temperature (C),,,,,,,
05/13/2020 09:59:51 am,0,0.1572,22.9,,,,,,,
05/13/2020 10:00:01 am,10,0.1517,23.4,,,,,,,
05/13/2020 10:00:11 am,20,0.1536,23.5,,,,,,,
05/13/2020 10:00:21 am,30,0.1576,23.9,,,,,,,
05/13/2020 10:00:31 am,40,0.1579,24.2,,,,,,,
05/13/2020 10:00:41 am,50,0.1534,24.7,,,,,,,
05/13/2020 10:00:51 am,60,0.1579,24.4,,,,,,,
05/13/2020 10:01:01 am,70,0.1576,24.6,,,,,,,
05/13/2020 10:01:11 am,80,0.1577,24.9,,,,,,,
05/13/2020 10:01:21 am,90,0.1579,25.6,,,,,,,
05/13/2020 10:01:31 am,100,0.1577,25.4,,,,,,,
05/13/2020 10:01:41 am,110,0.1576,25.8,,,,,,,
05/13/2020 10:01:51 am,120,0.1579,26,,,,,,,
05/13/2020 10:02:01 am,130,0.1577,26.2,,,,,,,
05/13/2020 10:02:11 am,140,0.1574,26.3,,,,,,,
05/13/2020 10:02:21 am,150,0.1567,26.8,,,,,,,
05/13/2020 10:02:31 am,160,0.1572,26.9,,,,,,,
05/13/2020 10:02:41 am,170,0.1569,27.1,,,,,,,
05/13/2020 10:02:51 am,180,0.1574,27.6,,,,,,,
05/13/2020 10:03:01 am,190,0.1565,27.6,,,,,,,
05/13/2020 10:03:11 am,200,0.1569,27.8,,,,,,,
05/13/2020 10:03:21 am,210,0.1502,28,,,,,,,
05/13/2020 10:03:31 am,220,0.1562,28.8,,,,,,,
05/13/2020 10:03:41 am,230,0.1567,28.9,,,,,,,
05/13/2020 10:03:51 am,240,0.1576,28.8,,,,,,,
05/13/2020 10:04:01 am,250,0.1508,28.7,,,,,,,
05/13/2020 10:04:11 am,260,0.1574,28.6,,,,,,,
05/13/2020 10:04:21 am,270,0.1529,29.5,,,,,,,
05/13/2020 10:04:31 am,280,0.1526,30.1,,,,,,,
05/13/2020 10:04:41 am,290,0.1553,30.1,,,,,,,
05/13/2020 10:04:51 am,300,0.156,30.3,,,,,,,
05/13/2020 10:05:01 am,310,0.156,30.2,,,,,,,
05/13/2020 10:05:11 am,320,0.1505,30.4,,,,,,,
05/13/2020 10:05:21 am,330,0.1563,30.5,,,,,,,
05/13/2020 10:05:31 am,340,0.1517,30.6,,,,,,,
05/13/2020 10:05:41 am,350,0.1557,30.7,,,,,,,
05/13/2020 10:05:51 am,360,0.157,31.3,,,,,,,
05/13/2020 10:06:01 am,370,0.1536,31.6,,,,,,,
05/13/2020 10:06:11 am,380,0.1567,31.5,,,,,,,
05/13/2020 10:06:21 am,390,0.1557,31.9,,,,,,,
05/13/2020 10:06:31 am,400,0.1551,32.4,,,,,,,
05/13/2020 10:06:41 am,410,0.1505,32.4,,,,,,,
05/13/2020 10:06:51 am,420,0.152,33.1,,,,,,,
05/13/2020 10:07:01 am,430,0.1495,33.2,,,,,,,
05/13/2020 10:07:11 am,440,0.1517,33.3,,,,,,,
05/13/2020 10:07:21 am,450,0.1491,33.1,,,,,,,
05/13/2020 10:07:31 am,460,0.155,33.4,,,,,,,
05/13/2020 10:07:41 am,470,0.1515,33.8,,,,,,,
05/13/2020 10:07:51 am,480,0.1543,33.8,,,,,,,
05/13/2020 10:08:01 am,490,0.1551,34,,,,,,,
05/13/2020 10:08:11 am,500,0.1514,34.6,,,,,,,
05/13/2020 10:08:21 am,510,0.15,34.5,,,,,,,
05/13/2020 10:08:31 am,520,0.1541,34.6,,,,,,,
05/13/2020 10:08:41 am,530,0.1508,35,,,,,,,
05/13/2020 10:08:51 am,540,0.1557,35.4,,,,,,,
05/13/2020 10:09:01 am,550,0.1493,35.4,,,,,,,
05/13/2020 10:09:11 am,560,0.155,35,,,,,,,
05/13/2020 10:09:21 am,570,0.1545,35.8,,,,,,,
05/13/2020 10:09:31 am,580,0.1505,36.3,,,,,,,
05/13/2020 10:09:41 am,590,0.1493,36.3,,,,,,,
05/13/2020 10:09:51 am,600,0.1498,36.2,,,,,,,
05/13/2020 10:10:01 am,610,0.1548,36.8,,,,,,,
05/13/2020 10:10:11 am,620,0.1557,37.3,,,,,,,
05/13/2020 10:10:21 am,630,0.1548,36.8,,,,,,,
05/13/2020 10:10:31 am,640,0.1488,37.3,,,,,,,
05/13/2020 10:10:41 am,650,0.1548,37.5,,,,,,,
05/13/2020 10:10:51 am,660,0.1555,37.8,,,,,,,
05/13/2020 10:11:01 am,670,0.1512,38.1,,,,,,,
05/13/2020 10:11:11 am,680,0.156,37.8,,,,,,,
05/13/2020 10:11:21 am,690,0.1548,37.7,,,,,,,
05/13/2020 10:11:31 am,700,0.1541,38.2,,,,,,,
05/13/2020 10:11:41 am,710,0.1545,38.6,,,,,,,
05/13/2020 10:11:51 am,720,0.1498,39.2,,,,,,,
05/13/2020 10:12:01 am,730,0.1543,38.9,,,,,,,
05/13/2020 10:12:11 am,740,0.1551,39.1,,,,,,,
05/13/2020 10:12:21 am,750,0.1517,39.9,,,,,,,
05/13/2020 10:12:31 am,760,0.1553,39.8,,,,,,,
05/13/2020 10:12:41 am,770,0.1508,39.7,,,,,,,
05/13/2020 10:12:51 am,780,0.1541,39.5,,,,,,,
05/13/2020 10:13:01 am,790,0.1553,39.9,,,,,,,
05/13/2020 10:13:11 am,800,0.1541,40,,,,,,,
05/13/2020 10:13:21 am,810,0.1496,40.3,,,,,,,
05/13/2020 10:13:31 am,820,0.1515,40.3,,,,,,,
05/13/2020 10:13:41 am,830,0.1481,40.5,,,,,,,
05/13/2020 10:13:51 am,840,0.1538,41,,,,,,,
05/13/2020 10:14:01 am,850,0.1538,41,,,,,,,
05/13/2020 10:14:11 am,860,0.1543,41.1,,,,,,,
05/13/2020 10:14:21 am,870,0.1508,41.5,,,,,,,
05/13/2020 10:14:31 am,880,0.1541,41.7,,,,,,,
05/13/2020 10:14:41 am,890,0.1533,42.1,,,,,,,
05/13/2020 10:14:51 am,900,0.1546,42.6,,,,,,,
05/13/2020 10:15:01 am,910,0.1543,42.4,,,,,,,
05/13/2020 10:15:11 am,920,0.1517,42.3,,,,,,,
05/13/2020 10:15:21 am,930,0.1557,42.6,,,,,,,
05/13/2020 10:15:31 am,940,0.1557,42.6,,,,,,,
05/13/2020 10:15:41 am,950,0.1512,42.5,,,,,,,
05/13/2020 10:15:51 am,960,0.1565,42.7,,,,,,,
05/13/2020 10:16:01 am,970,0.1503,43.2,,,,,,,
05/13/2020 10:16:11 am,980,0.1512,43,,,,,,,
05/13/2020 10:16:21 am,990,0.1533,43.1,,,,,,,
05/13/2020 10:16:31 am,1000,0.1563,43.7,,,,,,,
05/13/2020 10:16:41 am,1010,0.1567,43.6,,,,,,,
05/13/2020 10:16:51 am,1020,0.1558,43.9,,,,,,,
05/13/2020 10:17:01 am,1030,0.1512,44,,,,,,,
05/13/2020 10:17:11 am,1040,0.1555,44.4,,,,,,,
05/13/2020 10:17:21 am,1050,0.1569,44.4,,,,,,,
05/13/2020 10:17:31 am,1060,0.1515,44.2,,,,,,,
05/13/2020 10:17:41 am,1070,0.1515,44.5,,,,,,,
05/13/2020 10:17:51 am,1080,0.151,44.6,,,,,,,
05/13/2020 10:18:01 am,1090,0.1536,44.5,,,,,,,
05/13/2020 10:18:11 am,1100,0.1534,44.3,,,,,,,
05/13/2020 10:18:21 am,1110,0.1565,45.3,,,,,,,
05/13/2020 10:18:31 am,1120,0.151,45.1,,,,,,,
05/13/2020 10:18:41 am,1130,0.1493,45.4,,,,,,,
05/13/2020 10:18:51 am,1140,0.1533,45.7,,,,,,,
05/13/2020 10:19:01 am,1150,0.157,45.6,,,,,,,
05/13/2020 10:19:11 am,1160,0.1563,46.1,,,,,,,
05/13/2020 10:19:21 am,1170,0.1557,45.8,,,,,,,
05/13/2020 10:19:31 am,1180,0.151,45.8,,,,,,,
05/13/2020 10:19:41 am,1190,0.1531,45.9,,,,,,,
05/13/2020 10:19:51 am,1200,0.1563,46.2,,,,,,,
05/13/2020 10:20:01 am,1210,0.1569,46.3,,,,,,,
05/13/2020 10:20:11 am,1220,0.157,46,,,,,,,
05/13/2020 10:20:21 am,1230,0.1508,46.4,,,,,,,
05/13/2020 10:20:31 am,1240,0.1569,46.4,,,,,,,
05/13/2020 10:20:41 am,1250,0.1529,46.5,,,,,,,
05/13/2020 10:20:51 am,1260,0.1563,46.4,,,,,,,
05/13/2020 10:21:01 am,1270,0.1515,46.8,,,,,,,
05/13/2020 10:21:11 am,1280,0.1563,47.1,,,,,,,
05/13/2020 10:21:21 am,1290,0.1567,47.1,,,,,,,
05/13/2020 10:21:31 am,1300,0.1569,47.6,,,,,,,
05/13/2020 10:21:41 am,1310,0.1567,47.5,,,,,,,
